"","X.1","X","ResponseId","Q141_First.Click","Q141_Last.Click","Q141_Page.Submit","Q141_Click.Count","label1_1","label2_1","label3_1","severe","likelihood1","likelihood2","likelihood3","likelihood4","adjustMyTreatment1","adjustMyTreatment2","adjustMyTreatment3","adjustMyTreatment4","concernsOpen","treat1_1","treat2_1","treatSum_1","treatAvg_1","treatmentWhy_1","initiative_1","exaggerate_1","honest_1","clearer_1","givingUp_1","lazy_1","motivated_1","healthImproves_1","attributions_1","treat1_2","treat2_2","treatSum_2","treatAvg_2","treatmentWhy_2","initiative_2","exaggerate_2","honest_2","clearer_2","givingUp_2","lazy_2","motivated_2","healthImproves_2","attributions_2","moveForwardOpen","label1_2","label2_2","label3_2","ladderDave","insurance_Patient","incomeDave","ed_Patient","manipulationCheck","healthLit_Patient","perspective1","perspective2","perspective3","perspective4","perspective5","perspective6","age_Self","gender_Self","gender_5_TEXT","race_Self","race_6_TEXT","race_7_TEXT","ladder_Self","income_Self","incomeYouth","ed_Own","ed_Dad","ed_Mom","politics_Self","telemed","patient","conditionRace","conditionSES","likelihood2Recode","likelihood3Recode","bias","raceFactor","incomeFactor","edParent","treatRecode1_1","treatRecode2_1","treatRecode1_2","treatRecode2_2","study","Duration..in.seconds.","Finished","RecordedDate","patientId_1","feelingTherm_1_1","feelingTherm_1_2","feelingTherm_1_3","feelingTherm_1_4","feelingTherm_1_5","feelingTherm_1_6","feelingTherm_1_7","feelingTherm_1_8","feelingTherm_1_9","feelingTherm_1_10","feelingTherm_1_11","therm_1","therm_2","therm_3","therm_4","therm_5","therm_6","therm_7","therm_8","therm_9","therm_10","therm_11","feelingTherm","incapable_1","deserve_1","difficult_1","busy_1","intelligent_1","notes_1","incapable_2","deserve_2","difficult_2","busy_2","intelligent_2","notes_2","ladder_Patient","income_Patient","idRecall_1","idRecall_2","idRecall_3","load_Effort_1","load_Difficulty_1","gender_Self_5_TEXT","race_Self_6_TEXT","race_Self_7_TEXT","income_Youth","Patient2Name","Condition","Patient2","aid","cogLoad","loadCondition","manipulationCheck_m","manipulationCheck_f","Gender","SES","jobTitle","jobTitle_6_TEXT","specialtyField","ladder_Childhood","politics_Own","yearsWork_1","specialty","jobTitle.1","yearsWorkCurrent_1","workWhere","workInsurancePercent_1","trainingDegree","trainingWhere","trainingWhere_US","trainingWhere_notUS","ref","Race"
"161",161,163,"R_uw85UqIkPeMhFGV",0,0,9.474,0,"white male ","working class","scruffy",4,2,3,3,4,4,5,2,3,"whether he has insurance or not, lifestyle (what job he works, living situation, etc), overall health holistically (is he eating well, working out, smoking, getting his mental health checked up on, socializing, etc), money",7,8,2,1,"I chose the first two because I want to avoid putting anyone on opioids if I can. I'd like to know more about his pain and its source before even thinking of prescribing him with an opioid. Worst comes to worst, we can try the non-opioid treatment options first and move on to an opioid solution if it is dire. ",4,3,4,2,1,3,4,5,5,7,8,2,1,"I would still encourage him to try these options. Because he did not follow my directions last time, I will not immediately give him stronger medications because we did not even get the chance to see if the Tier 1 solutions were a good fit. I'm sticking with the same course of action but I would place a stronger emphasis on actually trying the treatment.",5,3,4,2,4,4,2,5,2,"Creating a detailed plan that tells him exactly when he needs to be taking the Lidocane or applying the topical cream. Telling him that the only way it will get better is if he tries his best to take one small step toward his health everyday. ","white man","working class","scruffy",4,2,3,2,"Dave",2,4,4,4,1,4,2,22,"Female","",1,"","",7,7,7,3,4,4,2,1,"White Low SES","White","Low SES",3,3,6,"White/Caucasian","greater than $150,000",4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",162,164,"R_2b2e059UBgi3d16",2.428,2.428,6.755,1,"happy","well dressed","man",4,4,3,5,3,3,4,4,2,"getting him the best care possible ",7,8,2,1,"because his pain isn’t super severe and don’t want to jump to extensive treatment",2,1,5,4,1,1,4,5,5,7,8,2,1,"he hasn’t tried them yet so when he does then we can up the strength if needed opioids can be addictive should only use if necessary ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"White Low SES","White","Low SES",3,1,4,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",163,165,"R_3JKPcxRMcCoUM1k",0,0,12.755,0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Black Low SES","Black","Low SES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",164,166,"R_ZrYPEIDRDzNs7KN",0,0,25.278,0,"old","patient","pain",4,2,4,2,3,4,5,3,1,"I would make sure that I am not wasting his money and other resources on things which might not be necessary. I would focus on trying to diagnose the issue while using minimal treatments / tests.",5,7,3,1.5,"I suggested over the counter option because I dont know enough bout the issue yet, and also I want to stay away from stronger treatments till proven necessary.

At the same time, I did suggest a tier 2 drug which might be needed if the pain gets worse / doesnt reduce after the over-the-counter drug is utilized.",4,3,3,3,1,4,4,5,2,5,7,3,1.5,"he did not follow the treatment last time, I dont have reason to increase strength ",5,3,3,3,2,5,2,4,2,"I need to make sure he knows that I won't be able to treat him if he doesnt follow my treatment plan.","lazy","patient","uneducated",4,3,4,2,"Dave",4,4,4,4,2,4,3,20,"Male","",2,"","",8,6,5,3,3,4,4,3,"Black High SES","Black","High SES",2,4,6,"Asian/Asian American","$100,001 - $150,000",3.5,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",165,167,"R_3LisC6w9mKG9Mub",0,0,7.428,0,"Young","african american","male",4,2,3,3,3,3,3,3,3,"his pain",7,8,2,1,"I think that initially it is important to do the least serious treatment. Opioid addiction is very serious, so you should at least try something else first. We don't know the severity of dave's injury. ",5,3,5,3,2,3,2,4,4,7,8,2,1,"",5,2,4,2,4,4,2,4,4,"Tell him to either follow up on the treatment or find someone else ","young ","male ","casual",5,5,2,2,"Dave",4,2,3,2,4,2,4,23,"Female","",1,"","",9,7,7,3,4,4,3,4,"Black Low SES","Black","Low SES",3,3,6,"White/Caucasian","greater than $150,000",4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",166,168,"R_2wSLgYy12FBe7CH",0,0,6.27,0,"male","white","thin",4,3,3,3,3,3,3,3,3,"Finding the best treatment for his specific condition or injury.",5,6,4,2,"I chose the options in Tier 2 meaning weak opioids to treat the patient with sharp pains.",4,2,3,5,1,1,3,5,3,7,8,2,1,"Since he had not taken his previous medication recommendations, I would recommend starting at the lowest tier until he starts taking his prescribed dosage.",4,1,3,3,1,3,3,5,3,"If he still feels pain I would recommend the lowest tier of pain medication.","male","white","slim",5,3,3,2,"Dave",4,3,4,3,2,4,2,20,"Non-Conform","",1,"","",5,5,5,2,3,3,1,4,"White Low SES","White","Low SES",3,3,6,"White/Caucasian","$75,001 - $100,000",3,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",167,169,"R_C2mTjvkJ4ljJWkp",0,0,6.025,0,"White","Man","Business",2,2,3,2,1,3,2,3,2,"His temperament ",7,8,2,1,"I chose these to see how severe his back pain is. If these don't work, we'll move up.",5,3,5,4,2,3,2,3,5,5,6,4,2,"Maybe a higher tier would encourage him to take the medication.",5,4,4,1,4,4,1,3,2,"I would say that I can't prescribe anything else until he tries the medication that I gave him.","Careless","Man","Lazy",7,1,6,3,"Dave",4,4,2,2,4,2,3,22,"Female","",6,"White and latina","",5,5,5,3,2,2,2,3,"White High SES","White","High SES",3,4,7,"Multiracial","$75,001 - $100,000",2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",168,170,"R_1ilLolxB40ULtIQ",0,0,5.957,0,"facial hair","tall","rugged ",4,2,3,2,3,4,4,3,3,"Finding the root cause of the problem",5,6,4,2,"As the pain is reported to be sharp an opioid is recommended. A weak dose is recommended to begin with. Adjustment can be made on follow-up review. ",3,3,4,3,1,3,2,4,5,6,7,3,1.5,"I replaced one of the weak opiod with an OTC pain relief medicine so it may easier to get it and start medication. ",2,3,4,3,1,2,4,4,2,"I would ask more about why it slipped his mind given he is in pain. Does he often forget things? Is he greatly preoccupied?","Pain","Struggle","Ragged",4,4,2,2,"Dave",4,2,3,2,3,3,2,40,"Female","",2,"","",3,2,2,3,2,3,2,3,"White Low SES","White","Low SES",3,4,7,"Asian/Asian American","$15,000 - $30,000",2.5,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",169,171,"R_2BlZPtHJjOjgbWy",0,0,5.306,0,"male","black","Sacramento",3,3,3,3,3,3,3,3,3,"That he does not have a good social support system",1,2,8,4,"I wanted a measurable way to assess his recovery",4,2,4,4,3,2,4,5,1,3,4,6,3,"Cause I wanted Dave to feel good",2,2,4,4,2,2,4,5,1,"I need to see him more often and more frequently","fentanyl","encouraging","happy",5,2,5,3,"Dave",4,4,4,4,4,4,4,21,"Female","",2,"","",7,7,6,3,3,3,3,4,"Black High SES","Black","High SES",3,3,6,"Asian/Asian American","greater than $150,000",3,4,4,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",170,172,"R_RQR9cYEiTUwOvbH",0,0,5.497,0,"young","help","poc",4,2,4,3,2,5,5,3,5,"how much time he has to dedicated to improving his health, how often he can revisit for follow ups, his mental and financial support, his health history, comfortability for Dave",6,7,3,1.5,"i would need more information about how long the pain persists, if there are any bruising or signs of larger trauma to the body, etc..therefore i would only choose one of the lowest accommodations until i know more",1,1,4,5,1,1,4,5,5,6,7,3,1.5,"just because he didn't have time doesn't mean i should extend the treatment or lower it. i can be more clear with when dave should be using these recommendations and set up a more reasonable plan for him to remember to use them",3,3,4,4,1,1,4,5,4,"still continuing to recommend that he tries to remember. he may have forgotten because he works a lot or has kids, its not as simple as giving up but just giving another recommendation","young","work","student",5,4,2,2,"Dave",5,3,4,4,2,3,2,21,"Female","",6,"Black, Guamanian","",5,2,3,3,3,2,2,2,"Black Low SES","Black","Low SES",2,3,5,"Multiracial","$15,000 - $30,000",2.5,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",171,173,"R_0TK8qem6431mhOx",0,0,5.603,0,"Origin","Severity","Time",4,2,3,4,2,4,2,2,1,"Dave's condition as time progresses. The nature of his illness",2,8,5,2.5,"I do not want to jump into using strong substances. I would recommend smaller doses of pain relief first. And scan Dave for a possible surgical procedure. ",4,3,3,5,1,3,3,5,2,3,5,5,2.5,"If the previous pain relief medication does not work, I would increase the dose.",4,3,3,5,1,3,2,5,1,"I would request that he make an appointment and visit a local doctor's office so that he can put his health in priority. ","Pain","Diagnosis","Referrals",9,1,7,3,"Dave",3,2,2,2,4,2,4,20,"Male","",2,"","",10,2,7,2,4,4,3,4,"White High SES","White","High SES",3,2,5,"Asian/Asian American","$15,000 - $30,000",4,4,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",172,174,"R_3jUS7LzSY6IUHn8",0,0,10.009,0,"male","worker","pain",4,3,4,2,4,4,4,3,3,"My biggest concerns would be any health history, pre-existing conditions, and possible reasons for having pain. ",7,8,2,1,"I was not provided with more information about his pain and usually, it is best to start from low doses of pain medication to more intense medications to avoid unnecessary strain on the kidneys or opioid dependency. ",4,3,4,2,1,3,2,5,3,7,8,2,1,"I made the same recommendation because again I did not have any other information as to what may be causing the pain and the patient has not used the medications consistently.",4,3,3,3,1,3,2,5,2,"I would make sure Dave knows that his pain will not go away if he does not use the medication and also give new strategies of ways to remember to take his medications. ","male","uncooperative","pain",5,2,4,2,"Dave",4,3,4,4,3,2,4,19,"Female","",2,"","",7,5,4,2,4,4,2,2,"White Low SES","White","Low SES",2,4,6,"Asian/Asian American","$75,001 - $100,000",4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",173,175,"R_1dyNQ243d7WAmHy",0,0,6.3,0,"Man","Young","Back pain",4,3,3,4,2,3,3,3,3,"Underlying conditions, cause of injury",6,7,3,1.5,"Opioids are very strong, and additive, I would like to treat without the use of them before prescribing.",5,4,2,4,4,4,2,5,3,6,7,3,1.5,"He did not do that last treatment, he needs to try the weaker option first.",5,5,1,2,5,5,1,5,3,"I would either not treat this patient, or give him the medication. ","Man","Young","Irrespponsible",6,2,4,2,"Dave",4,4,4,4,2,3,2,21,"Female","",2,"","",7,6,5,3,4,4,3,2,"Black Low SES","Black","Low SES",3,2,5,"Asian/Asian American","$100,001 - $150,000",4,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",174,176,"R_1mkipFHW8zuDLIR",0,0,22.785,0,"Professional","Stern","Concerned",2,4,3,4,2,2,2,2,2,"How he would respond to the diagnosis and treatment",6,7,3,1.5,"I think it's better to start at a lower tier instead of jumping to the top. His concern doesn't seem extreme enough for the stronger treatments.",4,3,2,2,1,3,2,4,2,6,7,3,1.5,"I would not change my recommendations because currently, Dave has not even tried to use any of my suggestions so he should still start with that.",5,4,2,2,3,4,1,4,1,"Emphasis importance of treatment if he wants to recover; confirm is the pain is strong enough to require a prescription to begin with","Busy","Unmotivated","Unorganized",8,1,6,4,"Dave",5,2,2,2,2,2,4,21,"Female","",2,"","",7,3,5,2,4,3,2,4,"White High SES","White","High SES",3,2,5,"Asian/Asian American","$30,001 - $50,000",3.5,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",175,177,"R_2S0oV25shHwnGlZ",0,0,25.087,0,"businessman ","old","black ",4,2,4,4,1,4,2,2,2,"His willingness to adjust a possibly fast-paced lifestyle ",1,2,8,4,"Acetominophen is too weak of a treatment, I am against prescribing strong opioids to people (because they are HIGHLY addictive) but he's in a lot of pain so I wanted to treat the source ",4,2,3,2,2,1,4,5,5,1,2,8,4,"my concerns about opiods have not changed. He needs to seriously address the cause of his pain. ",5,3,2,2,3,2,2,5,2,"I would talk with him about his treatment options and see which ones were most viable for him and his situation. ","busy","forgetful ","resistant ",8,1,6,3,"Dave",6,2,2,2,4,2,4,20,"Female","",1,"","",9,7,7,3,2,2,2,4,"Black High SES","Black","High SES",2,2,4,"White/Caucasian","greater than $150,000",2,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",176,178,"R_2ROguBFck2D4Y3m",0,0,6.617,0,"Man","working ","white ",4,4,4,3,2,4,4,3,4,"That we find a solution to ease the pain he is experiencing. ",3,4,6,3,"I would like to try an opioid to treat the pain first before inserting a needle into his skin. I would recommend an opioid because the pain is severe, if it were tolerable then I do not think he would visit the doctors. In which case, I remove over-the-counter medications from the list of options. ",4,2,5,3,1,1,4,5,5,3,4,6,3,"He did not use them correctly the first time so we do know if they are effective or not. I would like for him to use them as instructed to see if there are results.",4,3,4,3,3,3,3,5,2,"I would ask him to explain to me why he is not following the directions and if we can create a way for him to remember to take the medication correctly if he is forgetting. ","organization ","instructions","man",7,2,4,3,"Dave",5,4,4,4,2,4,2,22,"Female","",4,"","",8,3,2,3,2,2,2,4,"White Low SES","White","Low SES",2,3,5,"Hispanic/Latinx","$30,001 - $50,000",2,3,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",177,179,"R_8HzZ6ormtHsqAtr",0,0,5.767,0,"black","suit","young",4,3,3,2,1,4,4,2,2,"whether he has an already known allergy to a medication
",6,8,3,1.5,"they are the two of the treatments that involve not much trouble and not many side effects. i chose one of the weak opioids in case the gel doesn't work",4,4,5,2,1,3,4,5,4,6,8,3,1.5,"because Dave hadn't been using them by my instructions, and so using stronger medication wouldn't make sense if we hadn't already tried weaker medication",3,3,2,1,2,1,3,5,3,"continue until he uses the treatment he hasn't been using.","frustrating","unfortunate","forgetful",7,2,6,4,"Dave",4,4,4,4,2,4,2,21,"Male","",2,"","",4,5,5,3,4,3,3,1,"Black High SES","Black","High SES",3,4,7,"Asian/Asian American","$75,001 - $100,000",3.5,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",178,180,"R_1jTU7uHXG7dZAxp",0,0,6.281,0,"corporate ","money","white",2,2,1,4,1,4,4,4,4,"that he might exaggerate his pain 
",5,6,4,2,"because they were both in the tier 2 and described as a weak opioid",5,4,3,2,4,4,2,3,5,3,4,6,3,"because he said that he was still feeling pain",5,3,3,1,3,4,2,3,2,"probably give him surgery since he fails to take the medicine himself","lazy","Ignorant ","busy",8,2,5,3,"Dave",5,2,2,2,4,2,2,20,"Female","",3,"","",5,3,3,3,2,3,4,4,"White High SES","White","High SES",5,2,7,"Black/African American","$30,001 - $50,000",2.5,2,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",179,181,"R_25Qkx8i5wHG0N6X",0,0,16.446,0,"Alert","worry","strong",2,4,5,4,1,5,4,3,5,"My biggest concern is that Dave would go back to his regular activities without taking the time to rest.",5,7,3,1.5,"I choose those two options because I want Dave to take lower doses of medication and follow the resting recommendations",5,2,5,5,1,3,5,5,5,3,5,5,2.5,"I want him to feel comfortable and let him know that I am listening to his need. ",4,4,5,5,1,3,4,5,4,"Let him know the importance of his health and motivating him to follow the recomendations","Unaware","disoriented","worry",4,4,2,1,"Dave",1,2,3,2,4,4,4,42,"Male","",4,"","",6,2,2,3,1,1,2,3,"Black Low SES","Black","Low SES",1,2,3,"Hispanic/Latinx","$15,000 - $30,000",1,2,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",180,182,"R_2vcaYhuWXxEGAC2",0,0,23.656,0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,6,4,2,"",4,3,4,4,2,2,4,5,5,3,4,6,3,"",4,2,5,2,2,2,4,4,1,"","","","",5,3,4,2,"Dave",3,2,4,2,4,2,4,20,"Female","",2,"","",8,7,7,3,4,4,2,4,"Black High SES","Black","High SES",NA,NA,NA,"Asian/Asian American","greater than $150,000",4,2,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",181,183,"R_3QRwTUxXdMXpNMD",0,0,6.538,0,"physical work","beard","hat",4,3,3,3,3,3,3,3,3,"his lifestyle ",3,5,5,2.5,"it seemed to be the most sustainable ",4,3,5,4,1,1,3,4,3,3,6,5,2.5,"they seem to be at a higher level",4,2,5,3,3,3,3,3,5,"see him in person","busy","not prioritizing health","needs to be more informed ",3,4,4,2,"Dave",3,3,2,4,2,2,3,NA,"Female","",2,"","",6,6,5,3,4,3,2,3,"White Low SES","White","Low SES",3,3,6,"Asian/Asian American","$100,001 - $150,000",3.5,3,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
