"","X","ResponseId","Q141_First.Click","label2_1","label3_1","severe","likelihood1","likelihood2","likelihood3","likelihood4","adjustMyTreatment1","adjustMyTreatment2","adjustMyTreatment3","adjustMyTreatment4","concernsOpen","moveForwardOpen","label1_2","label2_2","label3_2","ladderDave","insurance_Patient","incomeDave","ed_Patient","manipulationCheck","healthLit_Patient","perspective1","perspective2","perspective3","perspective4","perspective5","perspective6","age_Self","gender_Self","gender_5_TEXT","race_Self","race_6_TEXT","race_7_TEXT","ladder_Self","income_Self","incomeYouth","ed_Own","ed_Dad","ed_Mom","politics_Self","telemed","patient","conditionRace","conditionSES","likelihood2Recode","likelihood3Recode","bias","raceFactor","incomeFactor","edParent","treatRecode1_1","treatRecode2_1","treatRecode1_2","treatRecode2_2","strike","treat1","treat2","treatSum","treatAvg","treatmentWhy","initiative","exaggerate","honest","clearer","givingUp","lazy","motivated","healthImproves","attributions","zScoreIncome","zScoreEd","objectiveSES","zScoreIncomeDave","zScoreEdDave","objectiveSESDave","adjust","perspective","study","Duration..in.seconds.","Finished","RecordedDate","patientId_1","feelingTherm_1_1","feelingTherm_1_2","feelingTherm_1_3","feelingTherm_1_4","feelingTherm_1_5","feelingTherm_1_6","feelingTherm_1_7","feelingTherm_1_8","feelingTherm_1_9","feelingTherm_1_10","feelingTherm_1_11","therm_1","therm_2","therm_3","therm_4","therm_5","therm_6","therm_7","therm_8","therm_9","therm_10","therm_11","feelingTherm","ladder_Patient","income_Patient","idRecall_1","idRecall_2","idRecall_3","load_Effort_1","load_Difficulty_1","gender_Self_5_TEXT","race_Self_6_TEXT","race_Self_7_TEXT","income_Youth","Patient2Name","Condition","Patient2","aid","cogLoad","loadCondition","incapable","deserve","difficult","busy","intelligent","notes","loadSum","loadMean","manipulationCheck_m","manipulationCheck_f","Gender","SES","jobTitle","jobTitle_6_TEXT","specialtyField","ladder_Childhood","politics_Own","yearsWork_1","specialty","jobTitle.1","yearsWorkCurrent_1","workWhere","workInsurancePercent_1","trainingDegree","trainingWhere","trainingWhere_US","trainingWhere_notUS","ref","Race"
"11",11,"R_1rcf51I6jfRsLqF",10.492,"anemic","sad",3,2,4,3,3,4,4,4,4,"support system and obstacles towards compliance","refer him to another doctor","weak","excuses","suspicious",2,4,1,2,"Dave",2,5,3,3,4,2,4,20,"Male","",2,"","",8,7,6,3,4,4,5,3,"White Low SES","White","Low SES",2,3,5,"Asian/Asian American","greater than $150,000",4,2,1,2,1,1,5,7,3,1.5,"opiods are no joke. start with the least risky treatment",2,3,3,4,3,3,3,4,2,1.27652414463781,0.946280590715452,2.22280473535326,-2.3091412066825,-0.917642386211743,-3.22678359289424,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"R_1rcf51I6jfRsLqF",10.492,"anemic","sad",3,2,4,3,3,4,4,4,4,"support system and obstacles towards compliance","refer him to another doctor","weak","excuses","suspicious",2,4,1,2,"Dave",2,5,3,3,4,2,4,20,"Male","",2,"","",8,7,6,3,4,4,5,3,"White Low SES","White","Low SES",2,3,5,"Asian/Asian American","greater than $150,000",4,2,1,2,1,2,6,8,3,1.5,"Alternatives within same tier. You didn't put this thought in my head earlier, but now that i see opioids on the treatment list, I am worried he wants opioids for bad reasons. ",4,3,3,3,4,3,2,4,2,1.27652414463781,0.946280590715452,2.22280473535326,-2.3091412066825,-0.917642386211743,-3.22678359289424,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"R_2wttr0tWAGJpBSX",0,"Mindful","American",4,4,4,4,2,4,4,4,4,"Making his pain better","I would keep the same medication but tell him to follow my recommendations","Lazy","Not taking initiative ","Annoying",9,2,6,3,"Dave",2,2,2,2,2,2,4,20,"Female","",2,"","",9,7,7,2,4,3,6,2,"White High SES","White","High SES",2,2,4,"Asian/Asian American","greater than $150,000",3.5,1,1,2,2,1,7,8,2,1,"Because I don't know how serious his pain is and the cause so I wouldn't want to prescribe opioids",2,2,4,4,2,3,2,4,4,1.27652414463781,-0.967786967777167,0.308737176860646,1.42252076766467,0.600432672459535,2.02295344012421,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"R_2wttr0tWAGJpBSX",0,"Mindful","American",4,4,4,4,2,4,4,4,4,"Making his pain better","I would keep the same medication but tell him to follow my recommendations","Lazy","Not taking initiative ","Annoying",9,2,6,3,"Dave",2,2,2,2,2,2,4,20,"Female","",2,"","",9,7,7,2,4,3,6,2,"White High SES","White","High SES",2,2,4,"Asian/Asian American","greater than $150,000",3.5,1,1,2,2,2,5,6,4,2,"Since the last medication didn't work, I would prescribe something a little stronger",5,3,4,2,4,4,2,3,1,1.27652414463781,-0.967786967777167,0.308737176860646,1.42252076766467,0.600432672459535,2.02295344012421,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"R_2aaeDNP8lpqrTSB",0,"tall","young",4,3,3,3,3,3,3,1,1,"I would need to know his financial capabilities, and how close his is to resources. ","I would keep trying to give him recommendations to try to improve his health. ","male","forgetful ","young",8,3,6,4,"Dave",4,3,3,3,3,3,3,18,"Female","",1,"","",7,6,6,2,3,3,4,3,"Black Low SES","Black","Low SES",3,3,6,"White/Caucasian","$100,001 - $150,000",3,2,1,1,1,1,6,7,3,1.5,"I was not given enough information to know the type of pain he is feeling, and if it is muscle, organ, etc. ",5,3,4,3,1,3,4,5,4,0.827408748689462,-0.967786967777167,-0.140378219087705,1.42252076766467,2.11850773113081,3.54102849879549,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"R_2aaeDNP8lpqrTSB",0,"tall","young",4,3,3,3,3,3,3,1,1,"I would need to know his financial capabilities, and how close his is to resources. ","I would keep trying to give him recommendations to try to improve his health. ","male","forgetful ","young",8,3,6,4,"Dave",4,3,3,3,3,3,3,18,"Female","",1,"","",7,6,6,2,3,3,4,3,"Black Low SES","Black","Low SES",3,3,6,"White/Caucasian","$100,001 - $150,000",3,2,1,1,1,2,7,8,2,1,"I feel that he needs to find the time to take his prescriptions so he can improve and feel less pain. ",4,3,5,2,1,3,2,5,2,0.827408748689462,-0.967786967777167,-0.140378219087705,1.42252076766467,2.11850773113081,3.54102849879549,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"R_12rJMLiumzUx2jm",0,"pain","discomfort",4,3,2,2,2,4,4,4,4,"His ability to follow instructions. ","I would explain the importance of treating his pain and give him the last opportunity to do so. ","old","pain","discomfort",5,4,4,2,"Dave",3,2,2,2,2,2,2,18,"Male","",2,"","",3,2,2,2,1,2,2,3,"Black High SES","Black","High SES",4,4,8,"Asian/Asian American","$15,000 - $30,000",1.5,3,1,4,4,1,3,8,4,2,"One is external and the other is internal, in case one doesn't work, the work might help a little. ",4,4,3,2,1,3,2,4,1,-0.969052835103942,-0.967786967777167,-1.93683980288111,-0.0701440220741951,-0.917642386211743,-0.987786408285938,2.75,2.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"R_12rJMLiumzUx2jm",0,"pain","discomfort",4,3,2,2,2,4,4,4,4,"His ability to follow instructions. ","I would explain the importance of treating his pain and give him the last opportunity to do so. ","old","pain","discomfort",5,4,4,2,"Dave",3,2,2,2,2,2,2,18,"Male","",2,"","",3,2,2,2,1,2,2,3,"Black High SES","Black","High SES",4,4,8,"Asian/Asian American","$15,000 - $30,000",1.5,3,1,4,4,2,1,2,8,4,"If he doesn't have the will to improve his health through treatment methods controlled by himself, then it might be necessary for me to be slightly more assertive to help him. ",5,4,3,2,1,4,1,5,1,-0.969052835103942,-0.967786967777167,-1.93683980288111,-0.0701440220741951,-0.917642386211743,-0.987786408285938,2.75,2.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"R_1hLtGKvg9eCJY3C",0,"When","Pain",4,2,4,4,1,4,4,2,4,"If he has any other types of medical conditions and what his financial ability is ","Recommend that if he still doesn't choose to follow with the treatment, I am not much help then","Careless","Trying","Stubborn",7,2,6,3,"Dave",5,4,4,4,2,4,2,21,"Female","",2,"","",6,7,7,3,4,4,3,4,"Black High SES","Black","High SES",2,2,4,"Asian/Asian American","greater than $150,000",4,2,2,2,2,1,5,6,4,2,"I would recommend starting low and then moving upwards but not OTC because he may have already tried that",4,2,5,4,1,2,2,4,2,1.27652414463781,0.946280590715452,2.22280473535326,1.42252076766467,0.600432672459535,2.02295344012421,3.75,3.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"R_1hLtGKvg9eCJY3C",0,"When","Pain",4,2,4,4,1,4,4,2,4,"If he has any other types of medical conditions and what his financial ability is ","Recommend that if he still doesn't choose to follow with the treatment, I am not much help then","Careless","Trying","Stubborn",7,2,6,3,"Dave",5,4,4,4,2,4,2,21,"Female","",2,"","",6,7,7,3,4,4,3,4,"Black High SES","Black","High SES",2,2,4,"Asian/Asian American","greater than $150,000",4,2,2,2,2,2,5,6,4,2,"He needs to actually follow through with what I suggested",5,2,5,1,4,4,1,4,1,1.27652414463781,0.946280590715452,2.22280473535326,1.42252076766467,0.600432672459535,2.02295344012421,3.75,3.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"R_1eF7mRfDe5Beg6X",0,"middle-age","working",3,3,3,3,2,4,2,1,1,"He may have a job based on his attire, so I would be concerned about that","I would prescribe the same medication. There is no way to know If it works if he did not take it","man","middle-age","working",7,1,5,3,"Dave",3,2,2,2,4,2,4,18,"Female","",1,"","",7,NA,NA,2,NA,NA,3,4,"White High SES","White","High SES",3,3,6,"White/Caucasian",NA,NA,1,1,1,1,1,7,8,2,1,"It does not seem that the pain is extremely severe",5,3,4,4,1,2,2,4,4,NA,-0.967786967777167,NA,0.676188372795239,0.600432672459535,1.27662104525477,3.25,3.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
